"","X","id","institution_code","star","flag","scientificName","collectors","collectors_parsed","collector_number_prefix","collector_number","collector_number_suffix","early_julian_day","late_julian_day","verbatim_date","county","elevation","locality","locality_parsed","geocoded","longitude","latitude","datum","georeference_source","township_range_section","error_radius","error_radius_units","current_name","current_name_binomial","current_genus","current_species","clade","dataset","cloned_geocode","jepson_flag","flagged_record_corrected","maxent_index","naturalised","cultivated","possible_mislabel","exclude_species","jepson_flag_october","new_flag","exclude_clade","x_epsg_3310","y_epsg_3310","Tave_wt","Tave_sp","Tave_sm","Tave_at","Tmin_wt","Tmax_sm","PPT_wt","PPT_sp","PPT_sm","PPT_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD5","DD_0","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","year","aet","cwd","cwd_gs","pet","ppt","soil_mean","soil_min","srad","swe_max","tmax","tmin","vpd_max","vpd_spr","vpd_gs"
"14",55,"HSC89798","","","","Quercus douglasii","L. Blackford, S. Branch, D. Malm","L. Blackford, S. Branch, D. Malm","","65","","4/16/1988","4/16/1988","Apr 16 1988","Lake","732 m","   6.1 mi. on Walker Ridge Road off Hwy 20 at Blue Oak campground","6.1 miles on Walker Ridge Road off Highway 20 at Blue Oak campground","yes",-122.5086111,39.07,"","","14N06W24",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.060734691,NA,NA,NA,NA,"no",NA,NA,-216827.771971416,119988.236845576,7.3,12.6,23.1,16.3,2.5,32.1,430,160,8,188,14.8,24.6,6.5,18,786,34,31.6,715,3656,38,326,77,334,256,8,-13,42.8,1223,886,16.6,59,1988,434,860.8,131.95,1294.5,762.7,71.1,19.2,191.716666666667,0,33.6,0.400000000000006,2.21,0.89,1.58666666666667
"15",67,"DS208353","","","","Quercus douglasii","John Thomas Howell","John Thomas Howell","","11720","","10/26/1933","10/26/1933","Oct. 26, 1933","Santa Clara","","   Mount Hamilton, 15 miles from San Jose","Mount Hamilton, 15 miles from San Jose","yes",-121.6430969,37.34209824,"WGS84","GoogleMaps via BerkeleyMapper (copied from UC25192) ","",3,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.098675388,NA,NA,NA,NA,"no",NA,NA,-145356.526537306,-73695.7428725441,7.5,10.8,20.5,15.6,3.7,26.8,280,162,8,146,13.6,21.8,6.9,15,597,34,39.6,636.1,3215,39,338,56,344,287,5,-11.3,38.9,1014,692,18.1,69,1933,458.1,818.1,124.316666666667,1276,961.2,58.5416666666667,15.1,197.933333333333,0,31,2.3,2,0.735,1.35833333333333
"16",77,"CDA16938","","","","Quercus douglasii","G. F. Hrusa, J. Glazner","G. F. Hrusa, J. Glazner","","15967","","8/30/2001","8/30/2001","August 30 2001","Tuolumne","1100 ft.","  Sierra Nevada Serpentine hills on W side of BLM Red Hills Reserve, immed. N of Old San Pedro Rd.","Sierra Nevada Serpentine hills on West side of BLM Red Hills Reserve, immed. North of Old San Pedro Road","yes",-120.4375,37.80833333,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.090183011,NA,NA,NA,NA,"no",NA,NA,-38466.0591439513,-23037.5243103397,8.7,14.1,24.3,17.1,3.1,33.6,263,159,9,118,16.1,25.8,7.7,18.1,549,31,47.4,829.1,4080,26,333,66,333,267,3,-12.5,44,1346,982,17.4,56,2001,557.8,919.2,136.516666666667,1476.8,644.9,144.7,47.2,202.958333333333,0,36,1.7,2.68,1.085,1.93333333333333
"17",103,"POM210642","","","","Quercus douglasii","Joseph A. Ewan","Joseph A. Ewan","","8120","","10/8/1933","10/8/1933","Oct 8 1933","Santa Clara","1220 m","   Northwest side summit; Mount Hamilton","Northwest side of summit Mount Hamilton","yes",-121.6429,37.3416,"WGS84","GoogleMaps via BerkeleyMapper (copied from RSA129096)","",300,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.105561497,NA,NA,NA,NA,"no",NA,NA,-145340.069231179,-73751.4218122112,7.5,10.8,20.5,15.6,3.7,26.8,281,162,8,146,13.6,21.8,6.9,15,597,34,39.5,635.6,3212,39,338,57,344,287,5,-11.3,38.9,1013,692,18.1,69,1933,458.1,818.1,124.316666666667,1276,961.2,58.5416666666667,15.1,197.933333333333,0,31,2.3,2,0.735,1.35833333333333
"18",108,"UC993125","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","1786","","8/18/1948","8/18/1948","Aug 18 1948","Tuolumne","","   1 mi sw Jamestown","1 miles southwest of Jamestown","yes",-120.43462,37.94307,"","Biogeomancer","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.065404504,NA,NA,NA,NA,"no",NA,NA,-38144.1814579653,-8060.58776899008,8,13.4,23.9,16.4,2.3,33.3,340,194,12,158,15.4,25.3,6.9,18.4,704,44,36.1,578.8,3857,32,322,79,326,248,5,-14.6,43.8,1323,931,17.8,55,1948,609.6,825.9,123.166666666667,1435.7,740.7,171.133333333333,54.3,203.225,0,35.3,0.900000000000006,2.54,1,1.8
"27",145,"CHSC110505","","","","Quercus douglasii","Julie Kierstead Nelson","Julie Kierstead Nelson","-2012","13","","5/1/2012","5/1/2012","05 01 2012","Shasta","650 ft","   5 miles N of Shasta College, NE of Redding; floodplain of unnamed tributary to Stillwater Creek","5 miles North of Shasta College, Northeast of Redding; floodplain of unnamed tributary to Stillwater Creek","yes",-122.3083333,40.66138889,"","Coordinates from specimen label","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.12681207,NA,NA,NA,NA,"no",NA,NA,-195216.657884228,296288.394227696,8.2,15,25.9,17.8,2.9,35,536,271,32,255,16.7,27.3,7.3,20,1094,100,24.4,271.8,4325,29,335,61,334,273,7,-12.4,45.3,1293,843,16.7,58,2012,756.1,679.9,103.683333333333,1435.8,1216.8,201.766666666667,59.8,186.941666666667,0,36.3,2.90000000000001,2.86,1.185,2.085
"28",163,"CAS475313","","","","Quercus douglasii","John Thomas Howell","John Thomas Howell","","15587","A","6/29/1940","6/29/1940","29-Jun-40","Lake","","   Cobb Mt. on road from Adams Springs to Middletown","Cobb Mountain on the road from Adams Springs to Middletown","yes",-122.71,38.8102,"WGS84","GoogleMaps via BerkeleyMapper","",5000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.171326117,NA,NA,NA,NA,"no",NA,NA,-235055.210918442,91603.0782179367,7.1,11.5,21.5,15.8,2.9,29.6,703,269,12,316,14,22.9,6.6,16.3,1300,51,18.5,452,3357,41,328,75,339,264,14,-11.9,41.6,1123,722,17.5,63,1940,577.8,568.8,88.4666666666667,1146.5,1343.6,145.25,39.2,190.308333333333,0,28.6,0.900000000000006,1.63,0.61,1.13666666666667
"32",187,"UCD40010","","","","Quercus douglasii","Rodney Gale Myatt","Rodney Gale Myatt","","993","A","9/15/1971","9/15/1971","09 15 1971","Lake","2700 ft.","   Cobb Mt. Along Hwy 29, south of Clear Lake","Cobb Mountain Along Highway 29, south of Clear Lake","yes",-122.7808,38.9399,"WGS84","GoogleMaps via BerkeleyMapper (copied from UCD40006)","",15.107,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.105600526,NA,NA,NA,NA,"no",NA,NA,-240771.624658639,106190.794899949,7.5,12.3,22.5,16.1,2.8,31,619,240,9,299,14.6,23.9,6.9,17,1166,46,21.1,518.4,3564,36,329,73,335,261,10,-12.4,42.8,1183,789,18,60,1971,531.9,694,106.983333333333,1226,971,130.775,36.1,190.258333333333,0,32.2,0.200000000000003,1.99,0.77,1.395
"33",188,"UC311190","","","","Quercus douglasii","A. D. E. Elmer","A. D. E. Elmer","","4528","","5/1/1903","5/31/1903","3-May","Santa Clara","","   Stanford University","Stanford University","yes",-122.16917,37.42722,"","Biogeomancer","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.132309614,NA,NA,NA,NA,"no",NA,NA,-191671.959003927,-63300.191090927,9.8,13.8,19.1,16.1,4.7,26.6,231,110,5,102,14.7,19.6,9.1,10.5,449,17,55,1124.7,3566,19,348,38,347,309,2,-8.8,39.5,1161,837,16.5,61,1903,378.2,807.9,117.716666666667,1186.2,484.2,51.3,14.9,193.108333333333,0,25,4.60000000000001,0.95,0.68,0.84
"35",208,"CAS1026772","","","","Quercus douglasii","Greg de Nevers","Greg de Nevers","","12620","","7/25/2001","7/25/2001","7/25/2001","Shasta","3000 ft","   Ahjumawi State Park","Ahjumawi State Park.","yes",-121.4161,41.125,"WGS84","Geolocate","",5.949,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.551103491,NA,NA,NA,NA,"no",NA,NA,-118998.879234466,346262.939625126,1.6,8.6,19,10.6,-4.8,29.9,205,138,34,137,10,20.5,0.6,19.9,514,86,38.8,238.3,2277,171,202,141,264,123,40,-28.1,41.3,1151,803,17,47,2001,380.7,811.6,125.066666666667,1192.1,550.1,41.7666666666667,11.7,188.65,31.3,32.2,-5.3,2.09,0.845,1.47
"36",222,"UC1083204","","","","Quercus douglasii","unknown","unknown","","1108","","10/8/1924","10/8/1924","Oct 8 1924","Santa Clara","","   Sand Hill Rd. between <Standford U.> and Jasper Hill","Sand Hill Road between <Standford U.> and Jasper Hill","yes",-122.22493,37.408463,"NAD27","Terrain Navigator, inferred","",1.408,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.084482313,NA,NA,NA,NA,"no",NA,NA,-196647.052376113,-65270.5308831572,9.9,13.5,19.3,16.3,4.7,27.7,331,162,7,146,14.8,19.9,9.4,10.5,647,25,38.3,805.9,3589,19,346,45,345,300,2,-8.4,40.7,1215,849,16.6,58,1924,413.4,712.7,105.666666666667,1125.9,617.4,61.2333333333333,17.2,193.216666666667,0,24.3,4.2,0.87,0.595,0.761666666666667
"37",243,"POM214444","","","","Quercus douglasii","Annetta Carter","Annetta Carter","","727","","10/13/1934","10/13/1934","Oct 13 1934","Santa Clara","762 m","   Between Long Branch of Isabel Creek and Bonito Creek; Mount Hamilton","Between Long Branch of Isabel Creek and Bonito Creek; Mount Hamilton","yes",-121.6585,37.3785,"WGS84","GoogleMaps via BerkeleyMapper (copied from CAS337996)","",1,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.096075088,NA,NA,NA,NA,"no",NA,NA,-146648.240491366,-69626.1287108907,8.1,11.5,20.6,16.1,4.2,27.4,271,160,8,142,14.1,21.8,7.4,14.4,581,33,41.4,654.9,3362,33,343,46,348,302,4,-10.3,39.5,1050,723,18.1,68,1934,449.7,841.6,127.716666666667,1291.2,920.9,55.9833333333333,14.5,197.933333333333,0,31.4,2.3,2.06,0.76,1.40333333333333
"40",262,"UCD132448","","","","Quercus douglasii","Greggory Cates, PLS 102 plant collecting interns","Greggory Cates, PLS 102 plant collecting interns","","4","","5/4/2013","5/4/2013","05 04 2013","Lake","1815 ft.","   Lake County: Clear Lake State Park. NE of Kelseyville. Lower northern slope of Mount Konocti. Southern part of park. South of Soda Bay Road. Along undeveloped road that goes southeast from Glebe Road at gate. Near gated park boundary and fork in road that leads downhill to Soda Bay Rd","Lake County: Clear Lake State Park. Northeast of Kelseyville. Lower northern slope of Mount Konocti. Southern part of park. South of Soda Bay Road. Along undeveloped road that goes southeast from Glebe Road at gate. Near gated park boundary and fork in road that leads downhill to Soda Bay Road","yes",-122.80254,38.99961,"NAD83","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.084856274,NA,NA,NA,NA,"no",NA,NA,-242457.258274911,112879.852885585,6.9,12.1,22,15.2,1.3,32.1,480,189,9,227,14.1,23.3,6.2,17.1,904,39,26.6,599.5,3386,43,307,100,316,216,11,-15.6,43.5,1273,899,15.6,54,2013,529.1,721.9,110.933333333333,1250.9,894.2,131.758333333333,37.2,189.725,0,33.2,0,2.1,0.825,1.46833333333333
"41",278,"UC1602280","","","","Quercus douglasii","J. Burtt Davy","J. Burtt Davy","","351","","1893-9-5","1893-9-5","Sep 5 1893","Santa Clara","","   Saratoga","Saratoga","yes",-122.02194,37.26389,"","Biogeomancer","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.107021136,NA,NA,NA,NA,"no",NA,NA,-179051.660296319,-81739.7208904349,9.6,13.3,19.5,16.2,4.4,27.9,333,159,7,131,14.6,20.1,9.1,11,630,25,39.1,799,3556,20,343,50,343,293,2,-9.3,40.2,1218,857,16.8,58,1893,448.8,816.7,119.7,1265.5,572,82.1416666666667,24,194.475,0,27.7,4.60000000000001,1.23,0.795,1.045
"42",282,"GH344343","","","","Quercus douglasii","John Torrey","John Torrey","","482","(a)","1865-1-1","1866-1-1","1865","","","   Borax Lake","Borax Lake","yes",-122.6736,38.9862,"WGS84","copied from GH400718","",1.1,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","yes","no",NA,0.074290176,NA,NA,NA,NA,"no",NA,NA,-231347.274513038,111067.829184662,6.8,12.3,22.3,15.1,0.7,32.3,370,131,6,153,14.1,23.6,6,17.6,660,28,36.5,843.5,3408,44,299,104,310,207,8,-17.1,43.8,1288,950,16.2,52,1865,475.8,806.6,122.95,1282.2,740.9,102.258333333333,28.2,191.316666666667,0,33.7,0,2.14,0.87,1.52333333333333
"43",289,"DS204672","","","","Quercus douglasii","Elmer I. Applegate","Elmer I. Applegate","","5840","","6/23/1929","6/23/1929","23-Jun-29","Shasta","","   Round Mountain","Round Mountain.","yes",-121.9405365,40.79421997,"NAD27","Terrain Navigator Pro. (copied from UC583544) ","",0.268,"mi","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.605001317,NA,NA,NA,NA,"no",NA,NA,-163814.870845276,310335.421125683,6.3,12.1,23.1,15.5,1.1,32.2,703,401,47,403,14.2,24.4,5.5,18.9,1554,155,15.6,157.8,3472,49,308,94,322,228,20,-16.3,42.9,1193,662,17.2,57,1929,729.9,545.3,85.3,1275.3,1495.5,194.191666666667,56,187.925,0.4,32.5,-0.599999999999994,2.16,0.915,1.56333333333333
"44",299,"GH344307","","","","Quercus douglasii","A. A. Heller","A. A. Heller","","7300","","4/9/1904","4/9/1904","4/9/1904","Santa Clara","","   Foothills west of Los Gatos","Foothills west of Los Gatos","yes",-121.9988,37.2327,"WGS84","GoogleMaps via BerkeleyMapper (copied from UCD52559)","",2.2,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.096197177,NA,NA,NA,NA,"no",NA,NA,-177075.906542431,-85249.4894388244,9.7,13.1,19.5,16.2,4.3,28.1,363,170,7,138,14.6,20.2,9.2,11,678,25,36.3,805.2,3545,20,342,53,342,289,2,-9.4,40.2,1225,859,16.8,58,1904,470,793,116.966666666667,1262.8,623.2,91.65,26.2,194.916666666667,0,28.3,4.2,1.28,0.805,1.07166666666667
"46",319,"UCD105643","","","","Quercus douglasii","K. M. Meyer, A. Townesmith","K. M. Meyer, A. Townesmith","","247","","9/24/2007","9/24/2007","09 24 2007","Santa Clara","253 m.","   Santa Clara County: Henry W. Coe State Park, SW corner of park, Hunting Hollow entrance and parking area","Santa Clara County: Henry West of Coe State Park, Southwest of corner of park, Hunting Hollow entrance and parking area","yes",-121.4661111,37.07583333,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.073247459,NA,NA,NA,NA,"no",NA,NA,-130158.485398248,-103546.753639074,8.9,12.5,20.4,16.2,3.9,29.1,301,148,6,125,14.5,21.3,8.2,13.1,580,22,42.2,989.2,3501,26,339,56,343,287,3,-10.7,41.2,1209,868,18.1,59,2007,362.4,934,137.866666666667,1296.4,547.1,35.975,9.1,198.45,0,31,2.5,1.72,0.85,1.30333333333333
"47",325,"UC847933","","","","Quercus douglasii","Lillian Lockwood","Lillian Lockwood","","","","4/9/1908","4/9/1908","Apr 9 1908","Santa Clara","","   near Stanford Univ.","Near Stanford University","yes",-122.1706,37.4266,"WGS84","GoogleMaps via BerkeleyMapper (copied fr","",3,"kilometers","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.132309614,NA,NA,NA,NA,"no",NA,NA,-191799.87222152,-63366.202450668,9.8,13.8,19.1,16.1,4.7,26.6,233,111,5,103,14.7,19.6,9.1,10.5,453,18,54.6,1115.9,3567,19,348,38,347,308,2,-8.8,39.6,1163,837,16.5,61,1908,378.2,807.9,117.716666666667,1186.2,484.2,51.3,14.9,193.108333333333,0,25,4.60000000000001,0.95,0.68,0.84
