name,tree_correct,site_correct,lon,lat,zcoord,description,parent material ,soil name,family,available water storage (0-100cm),total plant available water(cm) ,drainage,runoff,min bedrock depth (cm) if available,notes for soils,ChoiceOrder
HOP,1,HOP,-123.0946708,39.0027075,0,right next to road,colluvium derived from graywacke and/or colluvium derived from schist and/or colluvium derived from shale,Yorkville loam,"Fine, mixed, superactive, thermic Typic Argixerolls",16.62,24.98,moderatley well drained ,very high ,na,,1
HOP,2,HOP,-123.0947202,39.00259057,0,,colluvium derived from graywacke and/or colluvium derived from schist and/or colluvium derived from shale,Yorkville loam,"Fine, mixed, superactive, thermic Typic Argixerolls",16.62,24.98,moderatley well drained ,very high ,na,,1
HOP,3,HOP,-123.094601,39.002562,0,,colluvium derived from graywacke and/or colluvium derived from schist and/or colluvium derived from shale,Yorkville loam,"Fine, mixed, superactive, thermic Typic Argixerolls",16.62,24.98,moderatley well drained ,very high ,na,,1
HOP,4,HOP,-123.0945453,39.00255132,0,small tree,colluvium derived from graywacke and/or colluvium derived from schist and/or colluvium derived from shale,Yorkville loam,"Fine, mixed, superactive, thermic Typic Argixerolls",16.62,24.98,moderatley well drained ,very high ,na,,1
HOP,5,HOP,-123.0945612,39.00252366,0,,colluvium derived from graywacke and/or colluvium derived from schist and/or colluvium derived from shale,Yorkville loam,"Fine, mixed, superactive, thermic Typic Argixerolls",16.62,24.98,moderatley well drained ,very high ,na,,1
HOP,6,HOP,-123.0946377,39.00245534,0,,colluvium derived from graywacke and/or colluvium derived from schist and/or colluvium derived from shale,Yorkville loam,"Fine, mixed, superactive, thermic Typic Argixerolls",16.62,24.98,moderatley well drained ,very high ,na,,1
HOP,7,HOP,-123.0946984,39.00238086,0,,colluvium derived from graywacke and/or colluvium derived from schist and/or colluvium derived from shale,Yorkville loam,"Fine, mixed, superactive, thermic Typic Argixerolls",16.62,24.98,moderatley well drained ,very high ,na,,1
LPD,1,LPD,-120.287404,35.38935,0,"morph 1 (less sprawling, smaller leaves",residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce",1
LPD,2,LPD,-120.2874533,35.38940908,0,"morph 2 (more sprawling, bigger, greener leaves)",residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce",1
LPD,3,LPD,-120.28739,35.389503,0,morph 1,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce",1
LPD,4,LPD,-120.2874488,35.38953715,0,"morph 1, partial dieback",residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce",1
LPD,5,LPD,-120.28759,35.389393,0,morph 2,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce",1
LPD,6,LPD,-120.2878404,35.38958966,0,"added fall 2019 for tree cores, medium rotten",residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce",1
LPD,7,LPD,-120.287002,35.38927,0,added in fall 2019 for tree cores. Not rotten except at very center,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce",1
LYN,1,LYN,-121.879006,40.34654233,0,check #,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes,1
LYN,2,LYN,-121.8789593,40.34647002,0,check #,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes,1
LYN,3,LYN,-121.8788936,40.34657804,0,check #,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes,1
LYN,5,LYN,-121.8789042,40.34664882,0,check #,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes ,1
LYN,6,LYN,-121.8787992,40.34647314,0,check #,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes,1
LYN,7,LYN,-121.8785389,40.34652157,0,check #,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes,1
LYN,8,LYN,-121.8787035,40.34663392,0,check #,residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes,1
LYN,4,LYN,-121.8788131,40.34660304,0,"check #, might not be sampled tree. Originally labeled 9, but defo remember sampling and was missing 4",residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes,1
LYN,10,LYN,-121.8788702,40.34652664,0,"check #, might not be sampled tree",residuum weathered from volcanic breccia,Supan stony loam ,"PACHIC ARGIXEROLLS, FINE-LOAMY, MIXED, MESIC",14.24,16.79,well drained,very high ,117,might be toomes,1
LYN,1,LYN,-121.879006,40.34654233,0,check #,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
LYN,2,LYN,-121.8789593,40.34647002,0,check #,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
LYN,3,LYN,-121.8788936,40.34657804,0,check #,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
LYN,5,LYN,-121.8789042,40.34664882,0,check #,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
LYN,6,LYN,-121.8787992,40.34647314,0,check #,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
LYN,7,LYN,-121.8785389,40.34652157,0,check #,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
LYN,8,LYN,-121.8787035,40.34663392,0,check #,residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
LYN,4,LYN,-121.8788131,40.34660304,0,"check #, might not be sampled tree. Originally labeled 9, but defo remember sampling and was missing 4",residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
LYN,10,LYN,-121.8788702,40.34652664,0,"check #, might not be sampled tree",residuum weathered from volcanic breccia,Toomes very rocky loam ,"LITHIC RUPTIC-XERORTHENTIC XEROCHREPTS, LOAMY, MIXED, THERMIC",2.22,2.7,well drained,high,na,might be supan,2
Q,361,SJR,-119.74143,37.10267,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,362,SJR,-119.74203,37.10197,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,363,SJR,-119.74188,37.10171,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,364,SJR,-119.74236,37.10175,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,365,SJR,-119.74243,37.10169,0,"Species = Qudo<br></br>Site = San Joaquin 1<br></br>
Dead canopy, trunk sprouting w bristle lobed blue leaves",residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,366,SJR,-119.74254,37.10183,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,367,SJR,-119.7428,37.10199,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,368,SJR,-119.74314,37.10192,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,369,SJR,-119.7432,37.1022,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,370,SJR,-119.74222,37.10251,0,Species = Qudo<br></br>Site = San Joaquin 1<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,371,SJR,-119.74662,37.11572,0,Species = Qudo<br></br>Site = San Joaquin 2<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,372,SJR,-119.74685,37.11584,0,Species = Qudo<br></br>Site = San Joaquin 2<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,373,SJR,-119.74708,37.11579,0,Species = Qudo<br></br>Site = San Joaquin 2<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,374,SJR,-119.74815,37.11631,0,Species = Qudo<br></br>Site = San Joaquin 2<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,375,SJR,-119.74834,37.11635,0,"Species = Qudo<br></br>Site = San Joaquin 2<br></br>
A few acorns 8/2016",residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,376,SJR,-119.749114,37.115928,403,Species = Qudo<br></br>Site = San Joaquin 2<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,377,SJR,-119.749235,37.115952,400,Species = Qudo<br></br>Site = San Joaquin 2<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,378,SJR,-119.749113,37.115326,408,Species = Qudo<br></br>Site = San Joaquin 2<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,379,SJR,-119.7488,37.11495,0,Species = Qudo<br></br>Site = San Joaquin 2<br></br>,residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
Q,380,SJR,-119.748316,37.114965,401,"Species = Qudo<br></br>Site = San Joaquin 2<br></br>
Partners w few acorns 8/2016",residuum weathered from granite,Ahwahnee and Vista rocky coarse sandy loams,"Coarse-loamy, mixed, active, thermic Mollic Haploxeralfs",10.08,13.42,well drained,low,91,"36% Ahwahnee, 34% Vista, 10% Tollhouse, 10% Auberry, 10% coarsegold",1
SMR,1,SMR,-120.065988,35.08707929,0,,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce ",1
SMR,2,SMR,-120.065703,35.08693392,0,,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce ",1
SMR,3,SMR,-120.0657493,35.08668348,0,,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce ",1
SMR,4,SMR,-120.0658975,35.08666253,0,,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce ",1
SMR,5,SMR,-120.0655799,35.08638138,0,,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce ",1
SMR,6,SMR,-120.0656621,35.08645447,0,,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce ",1
SMR,7,SMR,-120.0652213,35.08657311,0,,residuum weathered from conglomerate,Modesto-Yorba-Augua Dulce families association,"Loamy-skeletal, mixed, thermic Typic Haploxeralfs",8.95,6.43,well drained,high,76,"40% Yorba, 35% Modesto, 25% Agua Dulce ",1
SMD,294,SMD,-120.0631862,35.0742488,0,,residuum weathered from sandstone,Millerton-Millsholm-Agua Dulce families association,"Loamy, mixed, thermic Lithic Haploxeralfs",7.25,6.34,well drained ,medium ,41,"45% Millerton, 35% Millsholm, 20% Agua Dolce",1
SMD,172,SMD,-120.0631862,35.0742488,0,,residuum weathered from sandstone,Millerton-Millsholm-Agua Dulce families association,"Loamy, mixed, thermic Lithic Haploxeralfs",7.25,6.34,well drained ,medium ,41,"45% Millerton, 35% Millsholm, 20% Agua Dolce",1
SMD,2,SMD,-120.063158,35.07430497,0,,residuum weathered from sandstone,Millerton-Millsholm-Agua Dulce families association,"Loamy, mixed, thermic Lithic Haploxeralfs",7.25,6.34,well drained ,medium ,41,"45% Millerton, 35% Millsholm, 20% Agua Dolce",1
SMD,3,SMD,-120.0632152,35.07431795,0,,residuum weathered from sandstone,Millerton-Millsholm-Agua Dulce families association,"Loamy, mixed, thermic Lithic Haploxeralfs",7.25,6.34,well drained ,medium ,41,"45% Millerton, 35% Millsholm, 20% Agua Dolce",1
SMD,4,SMD,-120.0632836,35.07435495,0,,residuum weathered from sandstone,Millerton-Millsholm-Agua Dulce families association,"Loamy, mixed, thermic Lithic Haploxeralfs",7.25,6.34,well drained ,medium ,41,"45% Millerton, 35% Millsholm, 20% Agua Dolce",1
SMD,5,SMD,-120.0632841,35.07429921,0,,residuum weathered from sandstone,Millerton-Millsholm-Agua Dulce families association,"Loamy, mixed, thermic Lithic Haploxeralfs",7.25,6.34,well drained ,medium ,41,"45% Millerton, 35% Millsholm, 20% Agua Dolce",1
SON,1,SON,-120.6555012,37.81607797,0,,tuffaceous loamy residuum weathered from volcanic sandstone,Pentz gravelly loam ,"Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls",2.4,2.4,well drained ,low,20,questionable soil other PAW options 4.4 from Redding cobbly loam or  PAW 3.15 Goldwall-Toomes-Rock outcrop complex,1
